id,type,date,time
86769,1,2024-08-12,19:30:00
114,1,2024-08-12,19:30:00
112,1,2024-08-12,19:30:00
4,1,2024-08-12,19:30:00
111,1,2024-08-12,19:30:00
3,1,2024-08-12,19:30:00
86766,1,2024-08-12,19:30:00
87099,1,2024-08-12,19:30:00
86924,1,2024-08-12,19:31:00
86765,1,2024-08-12,19:31:00
116,1,2024-08-12,19:31:00
112,0,2024-08-13,05:42:00
86924,0,2024-08-13,05:42:00
115,0,2024-08-13,05:46:00
86766,0,2024-08-13,05:46:00
3,0,2024-08-13,05:47:00
113,0,2024-08-13,05:47:00
114,0,2024-08-13,05:48:00
116,0,2024-08-13,05:50:00
111,0,2024-08-13,05:50:00
86765,0,2024-08-13,05:52:00
87099,0,2024-08-13,05:53:00
86764,0,2024-08-13,05:53:00
86763,0,2024-08-13,05:53:00
4,0,2024-08-13,05:54:00
117,0,2024-08-13,05:56:00
86767,0,2024-08-13,05:57:00
86768,0,2024-08-13,05:58:00
86769,0,2024-08-13,05:58:00
117,1,2024-08-13,18:00:00
111,1,2024-08-13,18:00:00
115,1,2024-08-13,20:00:00
86763,1,2024-08-13,20:00:00
86769,1,2024-08-13,20:00:00
114,1,2024-08-13,20:00:00
86764,1,2024-08-13,20:00:00
113,1,2024-08-13,20:00:00
4,1,2024-08-13,20:00:00
116,1,2024-08-13,20:00:00
3,1,2024-08-13,20:00:00
87099,1,2024-08-13,20:00:00
86768,1,2024-08-13,20:00:00
86767,1,2024-08-13,20:01:00
112,1,2024-08-13,20:01:00
86765,1,2024-08-13,20:01:00
86766,1,2024-08-13,20:01:00
86924,1,2024-08-13,20:01:00
